L,U,V,t,β,δ,m,uS,ud,vd,Qm,QuS,Qud,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.5,0.9,1.0,100.0,0.0,6.099532077724905e-7,0.4051509677172062,0.0,NaN,0.00034407809170913686,1.1224354778960333e-10,8.386878984526581e-15,92.48385669997947,false,100,NaN,0.5,0.5,1.429843551,0.0
128,0.5,1.0,1.0,100.0,0.0,4.160059141133373e-8,0.4050354875305031,3.469446951953614e-18,NaN,3.0248581085584722e-5,1.1102230246251565e-13,3.775677725332007e-15,137.04503382663617,false,100,NaN,0.5,0.5,2.307969572,0.0
128,0.5,1.1,1.0,100.0,0.0,4.209290567257614e-9,0.40487965470193543,-6.938893903907228e-18,NaN,3.7033231725750837e-6,0.0,2.3289828835437882e-14,172.50314310097104,false,100,NaN,0.5,0.5,1.712380681,0.0
128,0.5,1.2,1.0,100.0,0.0,5.805580837945503e-10,0.4046731082145526,0.0,NaN,5.940534813065582e-7,0.0,3.10358384736507e-17,205.0387521237307,false,100,NaN,0.5,0.5,1.168987313,0.0
128,0.5,1.3,1.0,100.0,0.0,1.0300619545279021e-10,0.4044054487255795,-6.938893903907228e-18,NaN,1.1928713694775635e-7,0.0,4.884459782439438e-21,236.5670764579285,false,100,NaN,0.5,0.5,2.183987945,0.0
128,0.5,1.4,1.0,100.0,0.0,2.2571671221868944e-11,0.40406697201343245,-6.938893903907228e-18,NaN,2.8993849522863244e-8,0.0,3.965081384819645e-15,267.70422348727374,false,100,NaN,0.5,0.5,1.249590922,0.0
128,0.5,1.5,1.0,100.0,0.0,5.923370891545314e-12,0.4036488976381464,-3.469446951953614e-18,NaN,8.309432816168776e-9,0.0,8.329344586088232e-21,298.57581700181066,false,100,NaN,0.5,0.5,2.024130214,0.0
128,0.5,1.6,1.0,100.0,0.0,1.8162536477880978e-12,0.40314324448204936,3.469446951953614e-18,NaN,2.7482281785957793e-9,1.1102230246251565e-13,6.868561827580796e-24,329.1384343977781,false,100,NaN,0.5,0.5,1.771099579,0.0
128,0.5,1.7,1.0,100.0,0.0,6.376192964180942e-13,0.4025426416554374,-3.469446951953614e-18,NaN,1.0301775519746287e-9,0.0,2.5783841649950995e-24,359.3070047247395,false,100,NaN,0.5,0.5,1.165690699,0.0
128,0.5,1.8,1.0,100.0,0.0,2.519753504695734e-13,0.40184021017822225,-1.3877787807814457e-17,NaN,4.3104451963343984e-10,0.0,3.2381504884977836e-14,388.99768972306015,false,100,NaN,0.5,0.5,2.038950521,0.0
128,0.5,1.9,1.0,100.0,0.0,1.1050588710055536e-13,0.4010295167376938,-3.469446951953614e-18,NaN,1.9873241305789252e-10,0.0,5.947623346122663e-15,418.138745435038,false,100,NaN,0.5,0.5,1.24420841,0.0
128,0.5,2.0,1.0,100.0,0.0,5.31414196327741e-14,0.40010456933203065,-6.938893903907228e-18,NaN,9.985857127746048e-11,0.0,2.312964634632589e-14,446.671302098771,false,100,NaN,0.5,0.5,1.97277902,0.0
128,0.5,2.1,1.0,100.0,0.0,2.7738606473193047e-14,0.3990598352962835,0.0,NaN,5.4176291410850754e-11,0.0,1.2715309323688128e-27,474.5476143664465,false,100,NaN,0.5,0.5,2.43134962,0.0
128,0.5,2.2,1.0,100.0,0.0,1.55801487079242e-14,0.39789027357313,6.938893903907228e-18,NaN,3.1481742157698405e-11,0.0,4.625929269269432e-15,501.729004889182,false,100,NaN,0.5,0.5,1.226230892,0.0
128,0.5,2.3,1.0,100.0,0.0,9.346615389987698e-15,0.39659137806183714,1.0408340855860843e-17,NaN,1.9459424632459295e-11,1.1102230246251565e-13,2.3129646346354315e-14,528.1840687125379,false,100,NaN,0.5,0.5,1.996360383,0.0
128,0.5,2.4,1.0,100.0,0.0,5.950113581483981e-15,0.39515923020463806,-3.469446951953614e-18,NaN,1.271783545508705e-11,0.0,3.96508223080409e-15,553.8872404210969,false,100,NaN,0.5,0.5,1.650480473,0.0
128,0.5,2.5,1.0,100.0,0.0,3.99696771157877e-15,0.39359055893236305,1.0408340855860843e-17,NaN,8.74218583230983e-12,0.0,3.885780586188256e-14,578.817702510203,false,100,NaN,0.5,0.5,1.258292942,0.0
128,0.5,2.6,1.0,100.0,0.0,2.8190689948873125e-15,0.39188280562839906,6.938893903907228e-18,NaN,6.291156321894572e-12,0.0,9.25185853854312e-15,602.9585849550273,false,100,NaN,0.5,0.5,2.092909098,0.0
128,0.5,2.7,1.0,100.0,0.0,2.0783838332326247e-15,0.3900341912055929,-3.469446951953614e-18,NaN,4.719994963189722e-12,0.0,6.4763009769801684e-15,626.2964037704412,false,100,NaN,0.5,0.5,1.277375845,0.0
128,0.5,2.8,1.0,100.0,0.0,1.5953684607910198e-15,0.38804378185530664,0.0,NaN,3.678169304797533e-12,0.0,4.039596489716574e-28,648.8206909196948,false,100,NaN,0.5,0.5,1.989664594,0.0
128,0.5,2.9,1.0,100.0,0.0,1.270379898371434e-15,0.3859115496036948,3.469446951953614e-18,NaN,2.9671388971843656e-12,0.0,1.7906822977825243e-15,670.5237734412201,false,100,NaN,0.5,0.5,1.440906809,0.0
128,0.5,3.0,1.0,100.0,0.0,1.0459705321066828e-15,0.38363842356914724,3.469446951953614e-18,NaN,2.4700268152720918e-12,0.0,2.775557561561266e-15,691.4006645274918,false,100,NaN,0.5,0.5,3.116438346,0.0
